number,"word	",polarity
1,"سيئ	",-1
2,"كعب	",-1
3,ممتاز,1
4,ماسورة,-1
5,"غالي	",-1
6,"حلو	",1
7,زباله,-1
8,شين,-1
9,ضاغط,-1
10,سجم,-1
11,"شوم	",-1
12,"ضعيف	",-1
13,"زفت	",-1
14,"مناسب	",1
15,"باسطة	",1
16,"افضل	",1
17,"مخستكة	",-1
18,"مابطال	",-1
19,"مبالغة	",1
20,"ماغالية	",1
21,"عواليق	",-1
22,"نجاضة 	",-1
23,ظابط,1
24,رخيص,1
25,"احسن	",1
26,"وهم	",-1
27,"أروع	",1
28,نار,-1
29,"طين	",-1
30,احلي,1
31,سخيف,-1
32,"بايخ	",-1
33,"تحفة	",1
34,"معاط	",-1
35,"معصلج	",-1
36,"مكرفس	",-1
37,"معجن	",-1
38,"مشحتف	",-1
39,"معولق	",-1
40,مدلع,-1
41,لاجئ,-1
42,"خمجان	",-1
43,"خملة	",-1
44,"حردان	",-1
45,"زعلان	",-1
46,"جعار	",-1
47,"خنفس	",-1
48,"رقيق	",1
49,"رمدان	",-1
50,"سنيح	",-1
51,"قبيح	",-1
52,"سجمان	",-1
53,"سهتان	",-1
54,"شرامي	",-1
55,"شليق	",-1
56,"شناف	",-1
57,"صيصة	",-1
58,ضهبان ,-1
59,"عبيط	 ",-1
60,"عنبلوق	 ",-1
61,"غبي	 ",-1
62,غشيم ,-1
63,"قحطان	 ",-1
64,"قملة	 ",-1
65,"قصير	 ",-1
66,قنبط ,1
67,"كركعوبة	 ",-1
68,"كرور	 ",-1
69,"كيشة	 ",-1
70,"لوام	 ",-1
71,"وكاد	 ",-1
72,"وهم	 ",-1
73,"الدقر	 ",-1
74,"الضبعة	 ",-1
75,"الجعران	 ",-1
76,"الشبشة	 ",-1
77,"اصنج	 ",-1
78,"لتيخة	  ",-1
79,عربجي ,-1
80,"دسيس	 ",1
81,انتعش ,1
82,"عبوس	 ",-1
83,ملاك ,1
84,"وا أسفاي	 ",-1
85,"السمح	 ",1
86,سليم ,1
87,"رمدان	 ",-1
88,"مطوفش	  ",-1
89,"خفيف	 ",-1
90,"جرسة	 ",-1
91,مدروخ ,-1
92,"يبرطم	 ",-1
93,"بوبار	 ",-1
94,دغبوج,-1
95,"شجاع	 ",1
96,"ردئ	 ",-1
97,كريم ,1
98,"جواد	 ",1
99,"صبور	 ",1
100,شهم ,1
101,متحشر,-1
102,"هبل	 ",-1
103,كديس ,-1
104,"جربوع	 ",-1
105,"ما شاء الله	 ",1
106,"صاري وشو	 ",-1
107,"ما  فية مثلة	 ",1
108,"زول ساكت	 ",-1
109,"لايفوتك	 ",1
110,"ريح بالك	 ",1
111,"سوداني وبس	 ",1
112,"مابينفع بجنية	 ",-1
113,"الله يديم النعمة	 ",1
114,لا يعلا علية ,1
115,عالم جميل  ,1
116,قاطع وش راس ,-1
117,اتحشي,-1
118,الله يسهل  ,1
119,"الله المستعان	 ",1
120,اطمئني ,1
121,كلو لخير ,1
122,جزاك الله خير  ,1
123,"الله يخليك	 ",1
124,"وهمي	 ",-1
125,عمرك ماحتنجح ,-1
126,"عوير	 ",-1
127,"متالق	 ",1
128,"متكبر	  ",-1
129,"احسنت	 ",1
130,"اريح	 ",1
131,"اصيل	 ",1
132,واسع ,1
133,"بسيط	  ",1
134,مزاجي ,-1
135,ابداع ,1
136,بشوش ,1
137,"طيب	 ",1
138,"نظيف	 ",1
139,"هكر 	 ",-1
140,متميز ,1
141,"وليف	  ",1
142,صدوق   ,1
143,"وفي	 ",1
144,"ملول	 ",-1
145,"متواضع	 ",1
146,"كسلان	 ",-1
147,"محترم	   ",1
148,"غيور	 ",-1
149,"غياظ	 ",-1
150,"رائع	  ",1
151,جحود,-1
152,عطشان,-1
153,متوتر ,-1
154,"مرض	 ",-1
155,"محبط	 ",-1
156,عبيط ,-1
157,"شكرا	 ",1
158,ممتع ,1
159,"مثلي	 ",1
160,"خازوق	 ",-1
161,"لا بأس	  ",1
162,"تعلق	 ",-1
163,"روعة	 ",1
164,"لا مثيل لة	 ",1
165,قوي  ,1
166,"اعجبني	 ",1
167,"يزعجني	   ",-1
168,"ليس قويا	 ",-1
169,"لايحمل	 ",-1
170,"التحميل يتاخر	",-1
171,"ظريف	",1
172,"متقطعة	",-1
173,"زاغت	",-1
174,"قطعت	",1
175,"طشت	",-1
176,"مافي	",-1
177,"احلي الخدمات	",1
178,"زادت	",-1
179,"قلت	",-1
180,"معدومة	",-1
181,"تقيلة	",-1
182,"مابتحمل 	",-1
183,"طفشت	",-1
184,"ماشغالة	",-1
185,"ممتعة	",1
186,"مابطالة	",1
187,"متوسطة	",1
188,"ماغالية	",1
189,"ابكم	",-1
190,"ابلج	",-1
191,"ابيض	",1
192,"اسود	",-1
193,"اح	",-1
194,"اجرد	",-1
195,"جرو	-",-1
196,"اجواد	",1
197,"اخس	",-1
198,"اخي	",-1
199,"اذي	",-1
200,"مضر	",-1
201,"اسد	",1
202,"شقي	",-1
203,"اصيل	",1
204,"بليد	",-1
205,"عميق	",1
206,يسنئي,1
207,"افة	",-1
208,"اقروب	",-1
209,"اكد	",-1
210,"اكحل	",1
211,"اكسبريس	",1
212,"لوجة الله	",1
213,"الم	",-1
214,"الماظ	",1
215,"بتاع فتن	",-1
216,"امير	",1
217,"ابنوسة	",1
218,"انيس	",1
219,"انيميا	",-1
220,"اوربي	",1
221,"ايوي	",1
222,"امي	",-1
223,"سخن	",-1
224,"بارد	",1
225,"شاكوش	",-1
226,"بازي	",1
227,"بائس	",-1
228,"باسطة	",1
229,"باظ	",-1
230,"بجاح	",1
231,"بخس	",-1
232,"بخيل	",-1
233,"مبدع 	",1
234,"ممطر	",1
235,"معتدل	",1
236,"متبذب	",-1
237,"صعب	",-1
238,"مشوش	",-1
239,"طويل	",-1
240,"عطلان	",-1
241,"معطل 	",-1
242,"بايظ	",-1
243,"منتهي	",-1
244,"غير صالح	",-1
245,"مدتو منتهية	-",-1
246,"غير اصلي	",-1
247,"مااصلي	",-1
248,"تقليدي 	",-1
249,"وسخان	",-1
250,"تعبان	",-1
251,"رهيب	",1
252,"طازا	",1
253,"غير نضيج	",-1
254,"رهيبة 	",1
255,"طازج	",1
256,"ني 	",-1
257,"صغير 	",-1
258,"بعلق	",-1
259,"واقعة	",-1
260,"سريعة	",1
261,"فل	",1
262,"فل الفل	",1
263,متأخر,-1
264,"رحيم	",1
265,"حكيم	",1
266,"مبسوط	",1
267,"مميز	",1
268,"خانق	",-1
269,"راضي	",1
270,"اتعب	",-1
271,"كلب	",-1
272,"مبهدل	",-1
273,"محبوب	",1
274,"غاضب	",-1
275,"بلبص	",-1
276,"متملق	",-1
277,"بلم	",-1
278,غور,-1
279,"بلاهة	",-1
280,"بلية	",-1
281,"بهبار	",-1
282,"بهدل	",-1
283,"بايخ	",-1
284,"باهي	",1
285,"سخيف	",-1
286,"تخة	",-1
287,"كتير	",1
288,"امين	 ",1
289,"مؤسف	 ",-1
290,"صاحية	  ",1
291,"تستعبط	 ",-1
292,"فتان	 ",-1
293,"تطبل	",-1
294,"لبانة	 ",-1
295,"ابتلي	 ",-1
296,"مهزلة	 ",-1
297,"خداع	 ",-1
298,"واضح	 ",1
299,"نتن	",-1
300,"يمثلنا	",1
301,"لايمثلنا	",-1
302,"سكوت	",1
303,"وقور	",1
304,"فاهم	",1
305,"كوز	",-1
306,"يابس	",-1
307,"مخبول	",-1
308,"انجاز	",1
309,"عظيم	",1
310,"قاسية	",-1
311,"مبروك	",1
312,"مفرح	",1
313,"باطل	",-1
314,"مدوقس	",-1
315,"طابت	",1
316,"بعشوم	",-1
317,"يانع	",1
318,"اخضر	",1
319,"سعيد	",1
320,"شامخ	",1
321,"دمار	",-1
322,"خراب	",-1
323,"فشل	",-1
324,"انكسار	",-1
325,"ضيق	",-1
326,"قبيح	",-1
327,"حسن	",1
328,"سهل	",1
329,"وجع	",-1
330,"تفجع	",-1
331,"وجية	",1
332,"وحش	",-1
333,"وردة	",1
334,"ورجغ	",-1
335,"يضج	",-1
336,"شجاع	",1
337,"فخور	",1
338,"شهم	",1
339,"شماسي	",-1
340,"ماسمحة	",-1
341,"فصل	",-1
342,"اجمل	",1
343,"ملوث	",-1
344,"يلوث	",-1
345,"عكر	",-1
346,"ضارب	",-1
347,"حرامي 	",-1
348,"مافي	",-1
349,"أروع	",1
350,"احب	",1
351,"مذهل	",1
352,"طويل	",1
353,"قصير	",-1
354,"جيد	",1
355,"جيد جدا	",1
356,"مقبول	",-1
357,"رائعة	",1
358,"فقير	",-1
359,"فظيع	",-1
360,"متضامن	",1
361,"مرح	",1
362,نشوي,1
363,"سجم الرماد	",-1
364,"خارم بارم	",-1
365,"متناسقة	",1
366,"قاشر	",1
367,"كج	",-1
368,"ذكي	",1
369,"عفن	",-1
370,"بذخ	",-1
371,"انهار	",-1
372,"جواد	",1
373,طار,-1
374,"سفاح	",-1
375,"سراق	",-1
376,"سحار	",-1
377,"سبهلل	 ",-1
378,"شاق	 ",-1
379,"لطيف	 ",1
380,"مرن	 ",1
381,"معلق 	 ",-1
382,مفتح,1
383,"اقل	 ",-1
384,"مسيخ	",-1
385,"متين	 ",1
386,"ملائم	 ",1
387,"مناسب	",1
388,"منحرف	",-1
389,"ضاع	",-1
390,"ضياع للزمن	",-1
391,"ضرر	",-1
392,"مضيعة للوقت	",-1
393,"مضر	",-1
394,"سيئة شديد	",-1
395,"اسواء شبكة	",-1
396,"متضايق	",-1
397,"ماشين لوراء	",-1
398,"بطئ شديد	",-1
399,"ابطئ	",-1
400,"اضعف شبكة	",-1
401,"عسل	",1
402,"ضعيفة شديد	",-1
403,"مانافعة	",-1
404,"ماشي الحال	",1
405,"ماظريفة	",-1
406,"تعبان جدا	",-1
407,"بطء شديد	",-1
408,"ذي الزفت	",-1
409,"قرف	",-1
410,"اسواء خدمة	",-1
411,"سيئة السمعة	",-1
412,"مواسير	",-1
413,عجيب,1
414,"ذي ام قرص	",-1
415,"رهيب	",1
416,"طلقة 	",1
417,"زي الطلقة	",1
418,"منتهية	",-1
419,اصلي,1
420,"كريه	",-1
421,"ذي العقرب	",-1
422,"ذي الطين	",-1
423,"ذي السلحفاة	",-1
424,"مظبوط	",1
425,"وسط	",1
426,"نص نص	",1
427,"مريح	",1
428,"مرح	",1
429,"راقي	",1
430,"كذب	",-1
431,"سراقين	",-1
432,لابائس,1
433,"مابطال 	",1
434,"عندكم شبكة	",-1
435,"كويسة شديد	",1
436,مامتوفرة,-1
437,"متوفرة	",1
438,"غير مكلفة	 ",1
439,مكلف ,-1
440,"مافي تغطية	 ",-1
441,"معقولة	 ",1
442,سلبي,-1
443,"سريع 	 ",1
444,"جميلة	 ",1
445,"جميلة جدا	 ",1
446,"جيدة 	 ",1
447,جيدة جدا  ,1
448,"قوية جدا 	 ",1
449,"سريعة جدا	 ",1
450,"غالية جدا 	 ",-1
451,ظابطة ,1
452,"حلوة شديد	 ",1
453,ماكعبة ,1
454,"ماسريعة 	 ",-1
455,خورافية  ,1
456,"بسيطة	 ",1
457,"تعمل الشلل	 ",-1
458,"الشلل	",-1
459,"يتمني	",1
460,مزعور,-1
461,"التوفيق	",1
462,مستخدم,1
463,غير مستخدم,-1
464,"مافيها انقطاع	",1
465,قاطع,-1
466,هديل,1
467,"ليست سريعة	",-1
468,"اسرع	",1
469,"مية المية 	",1
470,"بشكركم	 ",1
471,جزيل الشكر ,1
472,"ماسمحة	",-1
473,"مفيد 	",1
474,"موفر 	",1
475,"غالي جدا	",-1
476,"وهم خالص	",-1
477,"وخليك سوداني	",1
478,"وماخليك سوداني	",-1
479,"غير مستغرة	",-1
480,"مستغرة	",1
481,"طلس	",-1
482,"يستمتع	",1
483,"رديئة جدا	",-1
484,"متدني	",-1
485,"رديئ	",-1
486,"محتال 	",-1
487,"ابطا من السلحفاة	",-1
488,"مافي نت	",-1
489,زوق,1
490,غشاش,-1
491,نجس,-1
492,"الله يلعنكم	",-1
493,"مفضل	",1
494,"بطل	",1
495,"امن	",1
496,"خراب	",-1
497,"دمار	",-1
498,"شفت	",1
499,"بلوة	",-1
500,"ابتلاء	",-1
501,"تطفش	",-1
502,"طافشة	",-1
503,"زاغت	",-1
504,كنداكة,1
505,"تقيل 	",-1
506,"تبارك الله	",1
507,"معفنة	",-1
508,هايل,1
509,"سوء الخدمة	",-1
510,"يرخي	",-1
511,"يقلل	",-1
512,طاهر,1
513,"واضحة 	",1
514,"ماواضحة 	",-1
515,"بطي	",-1
516,"بطيئ جدا 	",-1
517,"اعفن شبكة	",-1
518,"بتضيع 	",-1
519,"ضاع	",-1
520,"تقليل	",-1
521,"عيب	",-1
522,"تتوقف	",-1
523,"مزيدا 	",1
524,"شوم	",-1
525,"عالي 	",1
526,"مرتفع 	",1
527,"حالة طوارئي	",-1
528,"انقطاع	",-1
529,"غير موجود	",-1
530,"حنين	",1
531,"ماكتيرة 	",-1
532,"غير مستفاد	",-1
533,"يستهلك	",-1
534,"سهل	",1
535,"تمام	",1
536,"تمام التمام	",1
537,"تمام شديد	",1
538,"مهم	",1
539,"اقل استهلاك	",1
540,"ماعندهم عوجة	",1
541,"مافي عوجة 	",1
542,"مابطالة	",1
543,"ضئيلة 	",-1
544,"مزعج	",-1
545,"مهمل	",-1
546,"غير سريعة 	",-1
547,"ظالم	",-1
548,"راحت	",-1
549,"تروح	",-1
550,"غير منتظمة	",-1
551,"متذبذبة	",-1
552,"مانافع 	",-1
553,مدهش ,1
554,اقتصادي ,1
555,"لاتغطي	 ",-1
556,"تغطي	 ",1
557,تقطع ,-1
558,متدني,-1
559,"تحتاج تحسين	 ",-1
560,ثمين,-1
561,روق المنقة,1
562,مادسيس,-1
563,"سريعة النفاذ	 ",-1
564,وهمي,-1
565,أخير كتير ,1
566,حزين,-1
567,افتخر ,1
568,عوير ,-1
569,شبكة متقطعة  ,-1
570,النت قاطع ,-1
571,معدوم,-1
572,"بيش	 ",-1
573,خراب,-1
574,"بايخ	",-1
575,"كئيب	",-1
576,"قاتل	",-1
577,"فوضي	",-1
578,"فوضووي	",-1
579,"لايطاق	",-1
580,"مملة	",-1
581,"خربانة	",-1
582,"متعة	",1
583,"متعب	",-1
584,"متاعب	",-1
585,"مظلم	",-1
586,هادئي ,-1
587,"باهت 	 ",-1
588,"ضلام	",-1
589,"مهجور	",-1
590,"ناقص	",-1
591,متحمل,-1
592,"شاق	",-1
593,"معولق	",-1
594,"زي الفل	",1
595,"مخيف	",-1
596,"جحيم	",-1
597,"مبهم	",-1
598,عريق,1
599,"يليق	",1
600,"لايليق	",-1
601,"زفتا	",-1
602,"ماجايب حقو	 ",-1
603,"يسل الروح	 ",-1
604,"ظريفة	 ",1
605,"ماظريفة	 ",-1
606,متخلف ,-1
607,"مامتخلف	 ",1
608,"غير متاحة 	 ",-1
609,"متاح	 ",1
610,"مافي شبكة	 ",-1
611,"لايوجد اتصال	 ",-1
612,"اتدهور	 ",-1
613,"تؤدي الغرض	 ",1
614,"ماسمحة	 ",-1
615,غير مقبولة  ,-1
616,"تعيس	 ",-1
617,"تذبذب	 ",-1
618,"تختفي	 ",-1
619,"تستهلك	 ",-1
620,"السلحفاء اسرع	 ",-1
621,"روحك تطلع 	 ",-1
622,"متدني	  ",-1
623,"وحش	 ",-1
624,"كارب	 ",1
625,"كر علي	  ",1
626,"كملت قروشنا	 ",-1
627,"اقتصادية 	 ",1
628,"منعدم	 ",-1
629,"احمق	 ",-1
630,"حمامة	 ",-1
631,"ابله	 ",-1
632,عنبلوك ,-1
633,"خجول	 ",-1
634,"ناشف	 ",-1
635,"لين	 ",1
636,"هين	 ",1
637,"مقرمش	 ",-1
638,"محشي	 ",-1
639,"زعران	 ",-1
640,"سواط	 ",-1
641,"هش	 ",-1
642,"حامض	 ",-1
643,"لذيذ	 ",1
644,"شوكلاته	 ",1
645,"زهجان	 ",-1
646,"أخلاقي هنا	 ",-1
647,"نباح	 ",-1
648,"غني عن التعريف	 ",1
649,"غني 	 ",1
650,"مفلس	 ",-1
651,"مروق	 ",1
652,"مترس	 ",-1
653,"مقفول	 ",-1
654,"كتوم	 ",-1
655,"قدامي	 ",1
656,"ضكران	 ",1
657,"عتت	 ",-1
658,"رهيف	 ",-1
659,"بتمزق	 ",-1
660,مشقوق ,-1
661,"حليم	 ",1
662,"ذول الله	 ",1
663,"خبيث	 ",-1
664,"عندو وشين	 ",-1
665,"قتيت	 ",-1
666,"نعيم	 ",1
667,"بالو طويل	 ",1
668,"مضحك	 ",1
669,"ذول  جنه	 ",1
670,"ودود	 ",1
671,"نرجسي	 ",1
672,عبقري ,1
673,"ملك	 ",1
674,"عزيز	 ",1
675,"مبشتن	 ",-1
676,"رؤوف	 ",1
677,"جبار	 ",1
678,"خلوق	",1
679,"بلباص	",-1
680,"دمو تقيل	",-1
681,"معتت	",-1
682,شمشار,-1
683,طماع,-1
684,"لذقة	",-1
685,"ذي اللبانة	",-1
686,"ذي الطلقة	",-1
687,لايوق,-1
688,"مخولق	",-1
689,شرير,-1
690,"طق	",-1
691,طرشق,-1
692,ضفدع,-1
693,عفيف,1
694,جدع,1
695,جحجاح,1
696,ثعلب,-1
697,مكار,-1
698,حمار,-1
699,مؤمن,1
700,يدو طويلة,-1
701,خائن,-1
702,تسعة طويلة,-1
703,لص,-1
704,مجرم,-1
705,عفريت,-1
706,ذي البانة,1
707,انبشقت,-1
708,نور,1
709,ذي النور,1
710,ذي نكير,-1
711,مكسور,-1
712,مقهور,-1
713,مجبور,-1
714,قاصر,1
715,منهور,-1
716,كافر,-1
717,مليان,1
718,جعان,-1
719,ماهر,1
720,مخلص,1
721,جاهل,-1
722,نكار,-1
723,عندو زوق,1
724,شاطر,1
725,عراف,1
726,نقاق,-1
727,حركي,-1
728,مابسكت,-1
729,شاذ,-1
730,ذي الشامة,1
731,بالع مكنة,-1
732,سمين,-1
733,ماعندو اخلاق,-1
734,ماعندو الحبة,-1
735,الخير,1
736,الفضل,1
737,ست الكل ,1
738,حاسم,1
739,حاني,1
740,مكافح,1
741,مربي,1
742,مثالي,1
743,مرضي,1
744,جذاب,1
745,مبهج,1
746,ذي الصينين,-1
747,كرب,-1
748,غزير,1
749,فاشل,-1
750,ناجح,1
751,مسامح,1
752,شارد,-1
753,مطمئن,1
754,حقود,-1
755,حسود,1
756,عامر,1
757,التينة,1
758,رزينة,1
759,جايط,-1
760,ممحوق,-1
761,ام وجنات,1
762,غزال,1
763,مضروب,-1
764,طموح,1
765,مسكين,-1
766,مجتهد,1
767,مايسوي شيئ,-1
768,شيطان,-1
769,جبان,-1
770,بتاع مظاهر,-1
771,بتاع مشاكل ,-1
772,طيرة,-1
773,جديد,1
774,قديم,-1
775,ناصية,1
776,مربوع,1
777,مسكون,-1
778,بتاع حركات,-1
779,قطيم,-1
780,مهضوم,1
781,نجيض,1
782,مطهي,1
783,حادق,1
784,منعش,1
785,مشكل,1
786,مرتب,1
787,ملبك,-1
788,طاعم,1
789,ملتزم,1
790,مشاكس,-1
791,لئيم,-1
792,متطور,1
793,مواكب,1
794,فنان,1
795,رسام,1
796,مبهر,1
797,حار,-1
798,خرافي,1
799,خروف,-1
800,زاهي,1
801,براق,1
802,نصيح,1
803,عيان,-1
804,مريض,-1
805,ثائر,1
806,حرة,1
807,مطيع,1
808,منظم,1
809,مندفع,-1
810,مشوكش,-1
811,هيشة,-1
812,مؤذي,-1
813,خايب,-1
814,نقي,1
815,مهذب,-1
816,مزدحم,-1
817,سالك,1
818,مبشر,1
819,عاطل,-1
820,مدمن,-1
821,سكرجي,-1
822,بلاعة,-1
823,لامع,1
824,مزخرف,1
825,مطوقش,-1
826,معفص,-1
827,راجل,1
828,فطن,1
829,فهيم,1
830,ابرق,1
831,جنة,1
832,اترزع,-1
833,ابن الرقاصة,-1
834,اب جلحات,-1
835,اركز,1
836,السنجك,1
837,بختك,1
838,بايرة,-1
839,بطال,-1
840,بلا وصاخة,-1
841,برلوم,-1
842,تشعبط,-1
843,تشغيلة,-1
844,تنخ,-1
845,جرة واطي,-1
846,جضوم,-1
847,جلابي,1
848,مبلل,-1
849,جخانين,-1
850,جغمسة,-1
851,جوطة,-1
852,حبابك,1
853,حشري,-1
854,حنكوش,1
855,حردت,-1
856,خستك,-1
857,داعشي,-1
858,داقوس,-1
859,دقست,-1
860,دوغري,1
861,دافوري,1
862,دلوكة,-1
863,رايق,1
864,ركلس,-1
865,زيفة,-1
866,شحمان,-1
867,شماسي,-1
868,شميتو,-1
869,صيص,-1
870,طربال,-1
871,فردتي,1
872,طوطح,-1
873,طرطور,-1
874,عتود,-1
875,عزوز,1
876,عمل رايح,-1
877,الهناء,1
878,فارس,1
879,فاز,1
880,بطل,1
881,خواف,-1
882,إيجابي,1
883,شكاك,1
884,شكاي,-1
885,ماعندو موضوع,-1
886,ماعندو عشرة,-1
887,لسانو طويل,-1
888,متنمر,-1
889,فاعل خير,1
890,شايف نفسو,-1
891,بختو,1
892,ايامك,1
893,فريد,1
894,ريحة الدعاش,1
895,زيفة,-1
896,شميتو,-1
897,خارم بارم,-1
898,فرخ,-1
899,قحاتي,-1
900,قيافة,1
901,كسار,1
902,كلجة,-1
903,لتيخة,-1
904,لكة,-1
905,ماحنك,1
906,مجلبط,-1
907,مردخ,-1
908,ماسخ,-1
909,مسحون,1
910,مجدوع,-1
911,منتوش,-1
912,مهووس,-1
913,نار الضلع,1
914,هامل,-1
915,هراش,-1
916,ويكة,-1
917,يتمحرف,-1
918,يجقلب,-1
919,يكسر تلج,-1
920,سلس,1
921,دون عناء,1
922,كرية,-1
923,الأول,1
924,عقيم,-1
925,معقد,-1
926,ثقيل,-1
927,اهبل,-1
928,واو,1
929,فعال,1
930,الف نجمة,1
931,قمة الأداء,1
932,قمة الروعة,1
933,خطير,-1
934,خلل,-1
935,ريح ,-1
936,اختصر,1
937,غير عملي,-1
938,رواد,1
939,عولاق,-1
940,في متناول اليد,1
941,موجود,1
942,نادر,-1
943,كامل,1
944,لا انصح,-1
945,رضي,1
946,هزيل,-1
947,هدي,1
948,حضاري,1
949,قيم,1
950,يحتاج,-1
951,متعدد,-1
952,ماداير,-1
953,شامل,1
954,متدرج,1
955,نضيف,1
956,ميسر,1
957,همجي,-1
958,عار,-1
959,وافي,1
960,كافي,1
961,مؤلم,-1
962,رقم واحد,1
963,بدائي,-1
964,مفصول,-1
965,راسب,-1
966,مر,-1
967,حنضل,-1
968,فوري,1
969,خدوم,1
970,فاقد,-1
971,فنتاستك,1
972,ركيك,-1
973,أبا,-1
974,جليل,1
975,يعاني,1
976,ثابت,1
977,بشري,1
978,برة الخدمة,-1
979,يعافر,-1
980,اغبش,-1
981,سامي,1
982,ناعم,1
983,ظاهر,1
984,ابرد,1
985,اتخمد,-1
986,ورجغة,-1
987,همبريب,1
988,كتاحة,-1
989,لغاويس,-1
990,لايصين,-1
991,كر علينا,-1
992,تافة,-1
993,اتشلب,-1
994,انبهر,1
995,فكاك,-1
996,امبرم,1
997,فالح,1
998,مزة,1
999,تجوبك,-1
1000,سباق,1
